PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
30,9066.239654779434,397393.24200000014,84773,4.687733618015171
40,9060.267608642578,391371.8650000001,84413,4.636393268809308
50,8841.153526544571,386013.44900000014,82739,4.665435272362491
60,7654.901078224182,348019.1509999993,83998,4.143183778185187
70,4774.691713809967,254790.34399999966,85081,2.9946797052220786
80,3397.379326581955,207370.83099999992,84712,2.4479510695060904
90,2551.7174577713013,173192.145,84678,2.0453027350669593
100,2223.522406578064,162024.02400000003,83195,1.9475211731474251
110,2238.996017217636,179548.70400000003,84487,2.125163681986578
120,2244.4609501361847,195881.61500000002,85399,2.2937225845735902
130,2255.256880044937,212652.69800000006,86191,2.467226253321113
