PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
30,1815.9628691673279,84438.526,24772,3.408627724850638
40,1768.0911536216736,82472.81799999997,24193,3.4089537469515965
50,1767.5800201892853,82446.69900000004,24213,3.405059224383597
60,1688.2766416072845,78618.54799999998,23209,3.387416433280192
70,1045.2805445194244,56446.66900000001,22645,2.4926769264738358
80,844.4330568313599,51818.986999999994,25750,2.0123878446601937
90,641.3721287250519,42496.76700000001,24836,1.711095466258657
100,640.8792986869812,46546.1,25761,1.8068436784286324
110,607.0228548049927,48411.916000000005,24607,1.9674042345673997
120,569.6934983730316,49528.654,23218,2.1332007063485228
130,602.909019947052,56355.162000000004,24592,2.2916054814573847
