PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
30,23108.6220767498,1008432.5230000021,186833,5.3975075227609794
40,20961.54166507721,908367.1180000004,170017,5.342801708064489
50,23407.8831512928,1019373.9090000006,187954,5.4235286772295375
60,18219.450328350067,833762.7410000033,173197,4.813956021178215
70,11509.320496797562,613519.3310000048,172922,3.5479541700882753
80,8383.947051763535,512017.0070000009,175703,2.9141050921156775
90,6366.381677150726,432510.9509999995,177786,2.43276158415173
100,5393.582797050476,396791.80600000103,171609,2.3121852933121283
110,5417.478312253952,438359.29499999864,174180,2.516702807440571
120,5364.504636049271,471947.43799999944,174205,2.70914978330128
130,5679.947770833969,540243.9950000005,184467,2.928675562566749
