PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
30,1596.7600145339966,62456.01700000002,42378,1.4737839680966545
40,1586.1561019420624,62401.773,42222,1.4779445076026716
50,1537.1701650619507,60767.645,41039,1.4807291844343184
60,901.003175497055,41667.72900000001,42017,0.9916873884380133
70,577.3573288917542,30971.608000000004,42444,0.7297052115728961
80,421.9168903827667,25652.39800000001,42874,0.5983206138918694
90,345.1359405517578,23067.148000000005,42148,0.5472892663946096
100,361.1665515899658,26628.064000000002,45144,0.5898472443735602
110,343.1105375289917,27629.635000000006,43547,0.6344784945001953
120,322.9632611274719,27998.066999999995,41421,0.6759389440139059
130,327.2918772697449,29882.844999999994,42166,0.7086952758146372
