PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
30,6223.238154888153,249836.1390000001,134228,1.8612818413445786
40,6386.147583246231,257935.357,137657,1.8737540190473423
50,6221.3701050281525,251229.047,134441,1.8686936797554317
60,3711.760689496994,173999.38899999994,135718,1.282065672939477
70,2443.2574446201324,133147.92099999994,137121,0.9710250144033368
80,1712.141301870346,105527.76000000001,134764,0.7830560090231813
90,1484.4066891670227,101308.23999999999,134305,0.7543147313949592
100,1480.1805901527405,112062.96200000004,136806,0.8191377717351581
110,1437.2374980449677,119291.22300000001,135415,0.8809306428386812
120,1416.5442757606506,127533.28400000001,134863,0.9456506528847795
130,1427.8774371147156,133908.47000000003,136372,0.9819352213064267
