PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
30,927.8408830165863,36418.86300000001,23740,1.5340717354675657
40,932.0573856830597,36800.27,23945,1.5368665692211316
50,914.6629211902618,36207.11300000001,23595,1.5345248145793606
60,512.4412553310394,23709.382,23067,1.0278485282004597
70,328.4558963775635,17656.448,23033,0.7665717883037382
80,232.81160736083984,14108.179999999997,22350,0.6312384787472034
90,216.34530520439148,14508.252000000002,23399,0.6200372665498527
100,215.8717188835144,16015.731,23964,0.6683246119178768
110,206.73081421852112,16783.437,23448,0.7157726458546572
120,200.26634073257446,17621.617000000002,23005,0.7659907411432298
130,203.8070592880249,18874.838,23529,0.8021946534064346
