PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
30,3394.746291399002,152896.02499999997,69719,2.193032387154147
40,3361.4117658138275,152511.16100000005,69148,2.205575880719617
50,3210.7972223758698,145170.989,66158,2.194307400465552
60,2852.366016626358,134561.41,68498,1.9644575024088295
70,1809.3862414360046,99320.61200000002,67734,1.4663331856969914
80,1316.495944738388,81766.018,68496,1.193734203457136
90,1078.2190198898315,73121.79300000002,68053,1.0744830205868958
100,1027.5172309875488,76879.02400000002,67051,1.1465753530894396
110,1037.8927748203278,85220.36599999998,68291,1.2479003968312072
120,1014.9318010807037,90718.34899999994,67104,1.3519067268717206
130,1046.8427202701569,100774.45400000003,69502,1.4499504186929877
