PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
30,5657.46789264679,247002.41400000002,77872,3.1719027891925213
40,5725.035012722015,250827.8619999999,78884,3.179705162010039
50,5769.057440280914,252654.87199999997,79413,3.181530379157065
60,4588.656069755554,211601.1959999998,74809,2.828552660776107
70,2861.12974858284,153523.77099999995,76102,2.017342132926861
80,2051.494696855545,125367.01299999992,75214,1.666804225277208
90,1585.6016159057617,107932.61099999998,76976,1.4021592574308872
100,1308.0624783039093,95541.549,74443,1.2834188439477183
110,1280.5939242839813,102768.46899999997,73754,1.3933951921251724
120,1239.6647789478302,108294.00600000001,72004,1.5039998611188268
130,1268.7417681217194,119696.22200000001,74071,1.615966059591473
