PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
30,24692.239067316055,1126633.5409999993,360528,3.124954347512535
40,6335.999724388123,265477.9380000001,174439,1.521895550880251
50,5825.8880660533905,245556.53900000002,161549,1.5200127453589933
60,5024.085311889648,233051.55599999978,191198,1.2189016412305556
70,2330.48149561882,125530.91899999995,144018,0.8716335388631973
80,2126.6934373378754,129186.509,176668,0.7312388717820998
90,1664.0972096920013,110139.38999999994,160374,0.6867658722735602
100,1776.735342502594,130565.35900000011,174470,0.7483542098928189
110,1521.700755596161,122217.83899999998,154405,0.7915406819727339
120,1412.0251483917236,123089.78799999997,141997,0.8668478066438021
130,1714.6782596111298,161351.89700000003,171721,0.939616569901177
