PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
30,1617.8555417060852,63476.002000000015,42917,1.4790409860894287
40,1611.8013589382172,63516.92800000001,42912,1.4801670395227444
50,1641.0537729263306,64867.17700000002,43759,1.4823733860462995
60,920.7066030502319,42668.085000000014,42917,0.994200083882844
70,609.2154033184052,32808.56700000001,43672,0.7512494733467671
80,445.31230568885803,27116.895,44930,0.6035365012241264
90,353.6349895000458,23692.924,43150,0.5490828273464657
100,347.5759205818176,25700.304000000004,43469,0.5912329246129426
110,341.1808612346649,27558.06200000001,43309,0.6363125909164379
120,343.1656653881073,29791.683999999997,44082,0.6758242366498797
130,325.367867231369,29877.916000000005,41925,0.7126515444245678
