PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
100,17965.607904195786,1450921.9010000124,285977,5.073561513688207
110,12751.802193641663,1132337.4210000036,255671,4.428884859839417
120,11984.912109851837,1159669.764000008,297208,3.901879370676456
130,10908.047330856323,1141202.6779999891,322389,3.539831315584555
140,6449.1674654483795,725058.4249999963,231645,3.1300413348010805
150,7473.974513292313,890245.7870000049,302929,2.938793535779027
160,5162.342784404755,643740.4160000004,236322,2.7239969871615863
170,6075.288020610809,797779.3049999994,290747,2.74389522505821
180,5080.408529520035,702382.4099999989,248844,2.8225812557264747
190,5071.977663040161,740984.0360000018,250436,2.9587760385887085
200,5881.898150205612,904153.718,288794,3.1307912144989163
210,5194.330509901047,838017.4730000005,257285,3.2571563557922167
220,4628.690402030945,781717.3890000004,230993,3.384160511357489
230,4428.200346231461,781954.1030000013,221828,3.525046896694742
240,6168.145420789719,1137066.4450000012,304324,3.7363679663779434
250,5583.581576347351,1071258.925000001,277241,3.863998921515941
