PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
100,2532.5030233860016,205441.25999999995,74959,2.7407150575648016
110,2038.0269904136658,181464.5419999999,77605,2.338309928483988
120,1578.6971688270569,153053.37299999993,75003,2.040630014799407
130,1322.5877997875214,138678.17999999996,75412,1.8389404869251573
140,1105.143056154251,124038.03699999998,75406,1.6449359069570058
150,1005.1226415634155,118389.56400000001,78052,1.5168037205965255
160,896.2144165039062,110716.906,74942,1.4773679111846496
170,890.4144909381866,115918.60000000002,77417,1.49732746037692
180,830.6413938999176,114247.99599999998,72847,1.5683280848902492
190,869.0832107067108,126126.549,76444,1.649920844016535
200,848.830607175827,129558.886,74946,1.7286964747951858
210,855.6773955821991,137123.152,75733,1.810612969247224
220,838.8780026435852,140791.682,74411,1.8920815739608392
230,848.3531377315521,148943.39700000003,75365,1.9762939958866852
240,819.2274551391602,149923.88100000002,72904,2.056456175244157
250,863.2361187934875,164557.41899999997,76107,2.162185068390555
