PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
100,456.3990478515625,36996.944,40068,0.9233538983727664
110,377.4686961174011,33588.474,41995,0.7998207881890702
120,314.997492313385,30338.09099999999,43059,0.7045702640562946
130,268.34575867652893,27678.06,42010,0.6588445608188527
140,247.43609070777893,27264.869999999995,41788,0.6524569254331386
150,257.64168667793274,30227.289,44980,0.6720162072032014
160,250.45712757110596,31309.33300000001,44043,0.7108810253615787
170,236.48791575431824,31401.169,41957,0.7484131134256501
180,239.82670903205872,33628.71499999999,42837,0.7850389849896116
190,231.026451587677,34138.738000000005,41299,0.8266238407709631
200,240.3120846748352,37228.66800000001,43312,0.8595462689323978
210,239.76989221572876,38926.72000000001,43399,0.8969496993018274
220,243.73635029792786,41414.195,44280,0.9352799232158988
230,237.5023922920227,41832.844000000005,43199,0.9683752864649646
240,240.46370267868042,43561.85700000002,43777,0.9950854786760175
250,226.40876603126526,41405.019,41196,1.00507376929799
