PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,3.2344729900360107,373.43600000000004,526,0.7099543726235742
2,2.636610746383667,347.2439999999999,424,0.8189716981132074
3,1.6048519611358643,215.92999999999998,253,0.8534782608695651
4,3.635540008544922,486.279,595,0.8172756302521008
5,2.892139434814453,385.338,472,0.8163940677966102
6,3.7256054878234863,502.9319999999999,609,0.8258325123152708
7,3.098558187484741,413.76099999999997,501,0.8258702594810379
8,2.0273921489715576,278.71600000000007,321,0.8682741433021809
9,2.7267494201660156,361.466,443,0.8159503386004515
10,1.828531265258789,246.21799999999996,292,0.8432123287671232
11,4.148940324783325,550.912,681,0.8089750367107196
12,2.7551112174987793,365.9580000000001,440,0.8317227272727274
13,2.8648757934570312,383.285,462,0.8296212121212122
14,4.102638483047485,553.198,671,0.8244381520119225
15,3.276787042617798,447.66300000000007,530,0.8446471698113209
16,3.2124104499816895,427.37200000000007,523,0.8171548757170174
17,2.96903133392334,397.2610000000001,481,0.825906444906445
18,3.170529365539551,431.629,511,0.8446751467710372
19,3.6853983402252197,495.82699999999994,600,0.8263783333333332
20,1.6412007808685303,225.56400000000002,256,0.8811093750000001
21,5.077924013137817,681.5079999999999,835,0.816177245508982
22,2.53328537940979,343.89500000000004,410,0.838768292682927
23,2.1380422115325928,274.736,340,0.8080470588235293
24,2.893909454345703,400.802,464,0.8637974137931035
25,2.79469895362854,376.418,450,0.8364844444444445
26,3.6242828369140625,478.75500000000005,588,0.8142091836734695
27,2.0489463806152344,281.656,325,0.8666338461538462
28,2.4914934635162354,326.69800000000004,400,0.816745
29,3.3013150691986084,449.935,532,0.8457424812030075
30,2.9558887481689453,394.9799999999999,480,0.8228749999999998
31,2.6356067657470703,345.668,424,0.815254716981132
32,3.463716506958008,470.1240000000001,568,0.8276830985915494
33,3.597158193588257,480.97499999999985,585,0.822179487179487
34,2.667673110961914,364.218,431,0.8450533642691416
35,1.95611572265625,259.30899999999997,309,0.8391877022653721
36,2.8636555671691895,382.31100000000004,465,0.8221741935483872
37,2.6652166843414307,366.484,428,0.8562710280373831
38,4.577038526535034,615.7929999999999,748,0.8232526737967913
39,2.546435832977295,344.105,411,0.8372384428223845
40,2.9909708499908447,394.4429999999999,484,0.8149648760330577
41,2.2502620220184326,298.55899999999997,361,0.8270332409972299
42,2.0216526985168457,282.384,323,0.8742538699690403
43,3.101393461227417,411.7729999999999,506,0.813780632411067
44,2.76602840423584,380.11100000000005,445,0.8541820224719102
45,1.859386682510376,239.36400000000003,297,0.8059393939393941
46,3.2324163913726807,435.971,526,0.828842205323194
47,3.045024871826172,416.62299999999993,496,0.8399657258064515
48,3.403470754623413,461.291,554,0.8326552346570397
49,2.297149181365967,310.451,370,0.8390567567567568
50,2.2280216217041016,292.584,357,0.8195630252100841
