PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
100,1024.8293862342834,83228.92500000002,68319,1.2182398015193434
110,805.1556439399719,71671.69399999999,69313,1.0340296048360336
120,638.7024435997009,61528.57199999999,67016,0.9181176435478093
130,569.0420603752136,58913.96099999999,67649,0.8708770417892354
140,527.1317467689514,58313.45100000001,68424,0.8522368028761839
150,520.2059807777405,61601.620999999985,68810,0.8952422758320009
160,503.40084433555603,63503.367999999995,67206,0.9449062286105406
170,491.774658203125,65837.05600000003,66097,0.996067234518965
180,3416.7681686878204,487936.9149999982,396156,1.2316787199991877
190,544.1965744495392,81654.70199999999,69052,1.1825103110699182
200,536.4197859764099,84616.59300000004,68390,1.2372655797631238
210,536.1933176517487,88607.05699999999,68573,1.2921566359937582
220,518.771068572998,88740.31500000002,66464,1.335163622412133
230,521.7514643669128,91029.375,67016,1.3583230124149457
240,536.3974125385284,93725.05100000004,68917,1.3599699783797907
250,546.8547987937927,95517.90400000001,70246,1.3597628904136891
