PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
100,285.46601486206055,23241.398999999998,24010,0.9679882965431069
110,211.90657711029053,18921.235000000004,22821,0.8291150694535736
120,183.58713006973267,17708.925000000003,23346,0.7585421485479312
130,159.82650899887085,16596.386000000002,22828,0.7270188365165587
140,148.0175702571869,16483.574999999997,22889,0.720152693433527
150,147.61653232574463,17517.874000000007,23379,0.7492995423243084
160,142.42401242256165,18002.775000000005,22812,0.7891800368227251
170,145.26555514335632,19451.913000000004,23503,0.8276353231502364
180,139.2729570865631,19732.692999999996,22653,0.871085198428464
190,143.22924280166626,21312.42100000001,23433,0.9095045875474762
200,140.6743245124817,21978.864,23160,0.9490010362694301
210,140.55364966392517,22980.345000000005,23243,0.9886996084842751
220,139.50857090950012,23874.328999999998,23118,1.0327160221472445
230,141.60221028327942,25236.808000000005,23553,1.071490171103469
240,135.26072764396667,24670.623000000003,22498,1.0965696061872168
250,144.90176272392273,26416.386000000002,24143,1.0941633599801186
