PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
100,1662.6137928962708,135643.43299999984,114593,1.183697372439851
110,1198.458018541336,106482.995,115640,0.9208145537876167
120,858.1769790649414,82326.13800000002,102768,0.8010872839794491
130,802.5243074893951,81711.14299999998,108431,0.7535773256725473
140,711.2992835044861,77028.39900000002,105657,0.729042079559329
150,638.6863281726837,73677.70700000002,99387,0.7413213699980885
160,679.6148157119751,83651.42499999996,105642,0.7918387099827716
170,693.4052622318268,90584.81599999998,108779,0.8327417608178047
180,669.8635945320129,92619.958,105472,0.8781473566444175
190,715.6238107681274,104261.065,112310,0.9283328732971241
200,678.8080673217773,104238.50899999999,107890,0.9661554268236165
210,627.9631807804108,101236.53300000002,100359,1.0087439392580637
220,689.022834777832,116263.56300000001,109135,1.0653187611673616
230,609.2351505756378,107314.42300000002,97915,1.095995741204106
240,657.9036180973053,120677.48000000001,105504,1.1438190021231422
250,557.1932942867279,103425.53300000001,90420,1.143834693651847
