PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
100,18197.852662563324,1467937.313999999,279345,5.25492603769532
110,10767.238406896591,956298.0810000022,221184,4.32354094780817
120,10103.375103235245,977354.462000003,254348,3.842587565068343
130,7241.462581396103,758547.0690000013,220680,3.4373167890157754
140,6278.541425228119,704935.0570000022,219965,3.204760107289806
150,6045.31308555603,717238.7249999994,245512,2.9213998704747604
160,5852.812851905823,730366.5020000015,255359,2.8601557101962394
170,4992.858580350876,653951.8600000009,238196,2.745435943508711
180,4991.841280460358,689382.3940000024,239104,2.8831905530647854
190,5973.215351343155,869738.4800000003,278564,3.1222213925704696
200,5623.214408159256,862626.3420000016,271524,3.176980090157782
210,4412.87598991394,710885.9810000006,216435,3.2845241342666416
220,4923.685730218887,831100.8489999998,238950,3.47813705377694
230,4236.466740846634,747776.7270000003,210672,3.5494832108680807
240,5063.685010433197,932479.5760000004,246940,3.7761382360087485
250,5771.709130764008,1105187.7519999992,272413,4.057030141733321
 
