PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
100,530.2698817253113,42983.16,47052,0.913524611068605
110,428.86374163627625,38153.93800000002,46700,0.8170008137044972
120,368.10946345329285,35510.713,47501,0.7475782194059073
130,320.756551027298,33329.832,46245,0.7207229322088875
140,291.3969359397888,32364.860000000004,45193,0.7161476334830617
150,295.5251178741455,35064.153000000006,46913,0.7474293479419352
160,289.81056356430054,36663.03799999999,46570,0.7872672965428386
170,295.6697108745575,39637.187999999995,47943,0.8267565233715035
180,286.2020003795624,40578.35799999999,46662,0.8696232051776605
190,286.7496883869171,42684.062999999995,46995,0.9082681774656878
200,283.2748908996582,44253.492000000006,46705,0.9475108018413447
210,292.3731565475464,47926.406999999985,48370,0.9908291709737438
220,276.67038464546204,47423.954000000005,45870,1.0338773490298672
230,285.54150891304016,50916.559000000016,47479,1.0724016723182883
240,279.7855017185211,50739.35400000001,46577,1.0893650084805806
250,275.90227341651917,50485.350999999995,45907,1.099730999629686
