PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,2.8387842178344727,426.58100000000013,473,0.9018625792811842
2,2.85162353515625,516.853,472,1.0950275423728812
3,3.661720037460327,681.9479999999999,607,1.123472817133443
4,3.3830342292785645,600.439,564,1.0646081560283687
5,2.567446708679199,476.914,426,1.1195164319248827
6,2.250319004058838,398.55100000000004,370,1.077164864864865
7,1.4383199214935303,268.87800000000004,231,1.163974025974026
8,2.5930325984954834,468.0210000000001,431,1.0858955916473318
9,4.178322792053223,771.0939999999998,702,1.098424501424501
10,2.844571828842163,511.5569999999999,476,1.0746995798319325
11,2.5160515308380127,471.784,421,1.120627078384798
12,2.7797112464904785,506.49799999999993,462,1.0963160173160171
13,2.068923234939575,364.25200000000007,334,1.0905748502994015
14,2.8667731285095215,512.356,479,1.0696367432150313
15,2.777130126953125,519.8550000000001,464,1.120377155172414
16,3.3823189735412598,600.1250000000001,564,1.0640514184397165
17,2.5419697761535645,472.6410000000001,421,1.12266270783848
18,2.975465774536133,534.8360000000001,498,1.073967871485944
19,3.2528719902038574,585.443,544,1.0761819852941177
20,2.4776792526245117,451.99600000000004,412,1.0970776699029128
21,2.020082473754883,381.53599999999994,332,1.1492048192771083
22,4.9068522453308105,884.4259999999999,824,1.0733325242718446
23,2.7507879734039307,498.5340000000001,460,1.0837695652173915
24,3.488311529159546,638.961,588,1.0866683673469388
25,2.6188323497772217,474.78600000000006,438,1.0839863013698632
26,2.584123134613037,475.43,429,1.1082284382284382
27,2.3813419342041016,443.87400000000014,393,1.1294503816793897
28,2.7923169136047363,502.02000000000015,464,1.081939655172414
29,2.6302733421325684,480.27600000000007,433,1.1091824480369517
30,2.997073173522949,532.0660000000001,502,1.0598924302788848
31,2.408568859100342,451.58700000000005,398,1.134640703517588
32,2.4220473766326904,441.31500000000005,404,1.0923638613861388
33,2.630884885787964,464.097,437,1.0620068649885583
34,3.3251149654388428,616.0149999999999,558,1.103969534050179
35,3.155395984649658,585.779,527,1.1115351043643265
36,4.071823596954346,744.7460000000001,688,1.0824796511627908
37,2.990856647491455,540.588,500,1.081176
38,2.7214701175689697,495.79200000000003,453,1.0944635761589405
39,2.9990427494049072,542.2490000000001,501,1.0823333333333336
40,2.654817819595337,501.2200000000001,442,1.133981900452489
41,2.039443254470825,368.25700000000006,331,1.1125589123867072
42,1.8197088241577148,322.336,296,1.088972972972973
43,1.7302119731903076,301.33900000000006,277,1.08786642599278
44,2.051616668701172,378.48699999999997,338,1.119784023668639
45,2.9241743087768555,537.538,489,1.0992597137014315
46,2.058960199356079,371.854,337,1.1034243323442137
47,2.4591922760009766,442.367,406,1.089573891625616
48,3.1266636848449707,564.487,527,1.071132827324478
49,2.2269465923309326,404.4030000000001,365,1.1079534246575344
50,3.0690114498138428,571.961,514,1.1127645914396886
