PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
100,1434.3910911083221,120461.453,67522,1.784032656023222
110,1156.7803633213043,106482.12599999997,67724,1.5722952867521112
120,908.958235502243,90385.21800000001,66451,1.360178447276941
130,796.3331413269043,84454.40499999998,67278,1.2553049288028775
140,731.5758209228516,82216.03699999995,67335,1.2210000297022343
150,714.7768661975861,85152.08300000004,68462,1.2437860857117824
160,706.1724879741669,89791.69699999999,68172,1.3171345567094992
170,709.32155418396,95722.719,68831,1.3906919701878513
180,692.213978767395,98864.81099999999,67363,1.4676426376497482
190,683.2047562599182,102902.11299999995,66577,1.5456105411778835
200,714.2199788093567,113183.816,69907,1.619062697583933
210,684.0080320835114,113527.138,66956,1.6955483899874546
220,662.117486000061,114781.46300000002,64789,1.7716196113537794
230,679.9715201854706,122969.34500000002,66654,1.8448907042338047
240,683.1242830753326,128180.01300000008,66998,1.9131916325860485
250,682.516676902771,128662.19600000004,66875,1.923920687850468
