PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
100,856.3410997390747,70102.40099999998,40922,1.7130736767508916
110,668.0756146907806,59484.854000000014,39262,1.515074474046152
120,537.9661102294922,51900.23699999999,39299,1.3206503218911418
130,415.4863932132721,42449.39700000002,36428,1.1652958438563747
140,392.25256633758545,42356.397000000004,37864,1.1186456000422567
150,398.31507086753845,45648.28000000001,40175,1.1362359676415685
160,393.40827679634094,47984.76099999999,40092,1.1968662326648707
170,420.1716904640198,54446.49000000001,43097,1.2633475647956938
180,401.20443654060364,54936.33500000001,41233,1.3323390245677007
190,380.6807475090027,55005.944,39138,1.4054357402013389
200,411.97007966041565,62499.09899999999,42510,1.4702211009174309
210,394.851375579834,62761.23199999999,40784,1.5388689682228323
220,389.6623556613922,65095.132999999994,40289,1.615704857405247
230,371.9546763896942,64798.669,38378,1.688432669758716
240,376.9693522453308,68254.38599999998,39027,1.748901683449919
250,451.8243217468262,83212.81100000005,46932,1.7730506051308286
