PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
100,1787.0979211330414,145260.52599999995,118459,1.2262514962982969
110,1068.7802393436432,94914.84199999998,105521,0.8994877038693717
120,784.0362305641174,75164.88400000002,95259,0.7890580837506169
130,709.573979139328,72293.17300000001,97228,0.7435427346032009
140,698.2406516075134,75879.00100000002,102912,0.7373192727767415
150,615.7547483444214,71094.73300000001,95786,0.7422246779278809
160,660.1001353263855,81271.361,102718,0.7912085613037637
170,726.5857577323914,94768.72299999997,113125,0.8377345679558008
180,630.2464435100555,87003.15999999999,100131,0.8688933497118774
190,633.7209458351135,92434.39699999995,100420,0.920477962557259
200,654.3105351924896,100505.71399999996,103341,0.9725637839773175
210,605.9366931915283,97596.19,97434,1.0016646139951146
220,661.10382604599,111571.67000000004,105388,1.058675276122519
230,632.1928679943085,111431.99200000003,101662,1.0961026932383784
240,617.4829611778259,113172.32800000005,99480,1.1376390028146366
250,535.6999313831329,98696.51400000002,87263,1.1310236182574518
