PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
100,907.9663643836975,76628.41299999997,82793,0.9255421714396141
110,714.8339326381683,66258.38999999998,81587,0.8121194553053793
120,602.2539215087891,60545.05800000002,84166,0.7193529216073001
130,509.55409002304077,54992.74600000001,80673,0.6816747362810359
140,495.8800096511841,57277.62299999999,84585,0.6771605249157651
150,482.2728066444397,59560.844999999994,83880,0.7100720672389127
160,462.88098430633545,60891.05800000003,81112,0.7507034470855117
170,466.07176327705383,65110.14899999999,82390,0.7902676174292995
180,472.37669706344604,69843.28900000002,83991,0.8315568215642154
190,462.6003360748291,71941.985,82600,0.8709683414043584
200,457.4807918071747,74636.22500000006,81936,0.9109088190783058
210,456.3192501068115,78039.32400000001,82126,0.9502389499062417
220,467.64949011802673,83363.817,84532,0.9861805825013013
230,460.13742566108704,85548.53600000002,83145,1.0289077635456134
240,452.937956571579,85756.98599999999,81971,1.046186895365434
250,451.9986116886139,85546.57299999999,81746,1.0464924644630929
