PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
100,19739.04318499565,1603715.7280000101,331875,4.832288445951066
110,15164.57583975792,1352455.8920000007,329519,4.104333564984115
120,12631.272793531418,1227728.6860000005,339563,3.6156138507434568
130,10577.254088163376,1112556.0860000001,341873,3.2542964375659973
140,8509.499700546265,959805.3439999986,331040,2.899363653939097
150,7549.429903268814,895096.6789999992,338679,2.64290575736907
160,7064.345702886581,876756.3519999994,344071,2.548184392174869
170,9308.96144747734,1215086.263,354049,3.4319720236464444
180,10777.27321434021,1490977.8859999992,342244,4.356476332674932
190,8482.723865270615,1244011.7920000001,370912,3.353927055474075
200,6532.483462333679,999095.7569999996,335309,2.9796270216427225
210,6962.938673257828,1117904.750999999,357375,3.128100037775443
220,9243.013226509094,1559085.719,347916,4.4812130485519495
230,10132.568794727325,1790764.6669999997,341903,5.237639526415386
240,8231.15077662468,1524610.4709999992,346061,4.405611932578358
250,7396.03996348381,1418457.8430000003,343722,4.12675895927523
