PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,3.178349494934082,846.2000000000002,463,1.8276457883369335
2,3.823561191558838,1266.6490000000003,576,2.1990434027777783
3,3.3868565559387207,1073.355,499,2.151012024048096
4,3.729670763015747,1236.525,557,2.2199730700179536
5,4.0236475467681885,1314.8800000000003,603,2.1805638474295197
6,2.7513580322265625,911.3270000000001,395,2.3071569620253167
7,3.16264009475708,1038.223,474,2.19034388185654
8,2.53542160987854,817.328,369,2.214981029810298
9,5.711886167526245,1916.1019999999999,856,2.23843691588785
10,3.1979618072509766,939.4030000000001,392,2.396436224489796
11,4.100569725036621,1358.1259999999997,621,2.1869983896940415
12,5.036698341369629,1657.2469999999996,759,2.1834611330698284
13,3.4471700191497803,1103.2640000000001,498,2.215389558232932
14,2.8549559116363525,904.6560000000001,417,2.1694388489208634
15,3.5487942695617676,1201.049,534,2.2491554307116104
16,4.610257387161255,1439.9170000000004,652,2.2084616564417185
17,4.331091642379761,1336.6660000000002,593,2.254074198988196
18,2.682915687561035,806.4219999999999,336,2.400065476190476
19,2.9770963191986084,933.8380000000001,423,2.2076548463356978
20,3.1167991161346436,1014.3209999999999,467,2.1719935760171305
21,2.845405101776123,923.8460000000001,420,2.1996333333333338
22,4.7288243770599365,1603.0290000000005,722,2.220261772853186
23,2.5420024394989014,782.86,353,2.2177337110481585
24,4.203078269958496,1422.9960000000003,644,2.209621118012423
25,4.274138927459717,1385.348,638,2.1713918495297806
26,2.9581682682037354,953.5110000000003,426,2.2382887323943668
27,3.662761926651001,1243.9959999999996,553,2.24954068716094
28,3.8007593154907227,1169.992,522,2.2413639846743294
29,3.3376991748809814,1053.9619999999998,472,2.2329703389830504
30,2.5315892696380615,818.3470000000001,368,2.223769021739131
31,2.0249972343444824,647.498,293,2.2098907849829352
32,5.50193190574646,1821.4719999999995,850,2.142908235294117
33,3.004606008529663,931.0809999999999,425,2.1907788235294117
34,3.696967601776123,1246.9220000000003,559,2.23062969588551
35,2.552769184112549,779.0980000000001,336,2.318744047619048
36,5.609930992126465,1790.5860000000005,823,2.1756816524908875
37,2.9981369972229004,926.767,420,2.206588095238095
38,2.777866840362549,932.435,414,2.25225845410628
39,6.683055400848389,2265.0520000000006,1028,2.203357976653697
40,2.5093533992767334,650.703,276,2.3576195652173912
41,2.2380025386810303,696.249,305,2.282783606557377
42,2.6459035873413086,820.9300000000001,380,2.160342105263158
43,3.7893784046173096,1258.6750000000002,578,2.1776384083044986
44,3.197800636291504,1047.0449999999998,468,2.237275641025641
45,4.895693063735962,1631.6850000000002,748,2.1813970588235296
46,2.985807418823242,931.4660000000002,426,2.186539906103287
47,2.0436129570007324,664.343,293,2.267382252559727
48,2.9926304817199707,983.426,455,2.161375824175824
49,2.346829414367676,795.6500000000001,338,2.353994082840237
50,2.42094087600708,777.047,358,2.170522346368715
