PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,7.707775592803955,1782.0229999999995,802,2.2219738154613458
2,8.484224796295166,2077.852,883,2.3531732729331822
3,8.268342971801758,2027.8029999999997,859,2.360655413271245
4,12.24683666229248,3060.1889999999994,1284,2.38332476635514
5,7.003542900085449,1697.0639999999999,720,2.3570333333333333
6,5.058923244476318,1232.5370000000003,515,2.3932757281553405
7,3.901660680770874,950.7729999999999,394,2.413129441624365
8,8.984647035598755,2220.2669999999994,943,2.354471898197242
9,9.159041166305542,2247.8250000000003,951,2.3636435331230286
10,8.574377059936523,2086.0499999999993,883,2.362457531143827
11,7.875269889831543,1924.659999999999,805,2.3908819875776386
12,8.683865547180176,2164.558000000001,911,2.3760241492864993
13,6.606379747390747,1601.2679999999996,680,2.3548058823529407
14,7.349438190460205,1806.335,761,2.373633377135348
15,10.823358535766602,2664.765000000001,1132,2.3540326855123683
16,10.638838052749634,2629.616,1107,2.3754435411020776
17,5.670990467071533,1382.3270000000002,579,2.3874386873920557
18,4.9767773151397705,1197.4540000000002,509,2.352561886051081
19,7.900990724563599,1938.4570000000006,823,2.355354799513974
20,7.012528657913208,1715.6109999999999,723,2.372905947441217
21,9.784767389297485,2426.258000000001,1021,2.3763545543584734
22,9.278566598892212,2278.9460000000004,962,2.3689667359667363
23,6.92689323425293,1677.0129999999997,711,2.3586680731364273
24,8.039779901504517,1982.19,835,2.373880239520958
25,6.425469636917114,1590.2859999999998,660,2.4095242424242422
26,4.818302631378174,1156.487,490,2.360177551020408
27,6.98441481590271,1719.2870000000007,724,2.3747058011049735
28,8.69572639465332,2168.4000000000005,906,2.393377483443709
29,6.819639205932617,1677.2300000000002,702,2.3892165242165246
30,7.181269407272339,1747.17,744,2.3483467741935486
31,8.051232814788818,2003.058,832,2.4075216346153847
32,9.700734615325928,2373.7640000000006,1003,2.3666640079760723
33,7.772235870361328,1899.2500000000007,800,2.374062500000001
34,8.152410984039307,2000.7450000000001,844,2.3705509478672986
35,8.908594131469727,2198.805,925,2.3770864864864865
36,8.55693507194519,2092.874,885,2.364829378531073
37,9.597525835037231,2391.272,998,2.396064128256513
38,5.466596364974976,1316.107,553,2.3799403254972873
39,6.980957269668579,1723.974,723,2.384473029045643
40,6.141981601715088,1522.016,631,2.4120697305863708
41,6.8226635456085205,1679.4,705,2.382127659574468
42,6.153895616531372,1510.868,631,2.394402535657686
43,9.431062698364258,2318.858,979,2.3685985699693566
44,5.807375431060791,1417.8019999999995,590,2.4030542372881345
45,7.925300359725952,1964.4429999999995,818,2.4015195599022
46,8.262203216552734,2021.681,853,2.3700832356389214
47,5.947329521179199,1446.4869999999999,606,2.3869422442244224
48,6.981511831283569,1710.086,719,2.37842280945758
49,6.289297819137573,1549.9360000000004,645,2.4030015503875974
50,6.903361082077026,1708.426,712,2.3994747191011236
