PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
150,1364.8588209152222,160265.136,40759,3.932018351775068
160,1147.4074976444244,143667.37999999995,39958,3.595459732719354
170,1009.671469449997,134232.80099999998,39778,3.3745487706772583
180,915.3163356781006,128769.799,40169,3.205700888745052
190,828.4498121738434,122976.238,40453,3.0399781969198822
200,739.0597298145294,115311.557,39377,2.9283987353023337
210,672.7374968528748,110155.67799999999,39117,2.81605639491781
220,619.9200351238251,105928.79300000002,39053,2.712436765421351
230,587.4105200767517,104875.60900000001,39772,2.636920672835161
240,551.426479101181,102540.509,39806,2.576006355825755
250,531.1804940700531,102910.31700000002,40615,2.5338007386433588
260,497.5707058906555,100061.20400000004,40123,2.4938614759614195
270,471.6312656402588,98332.23200000002,40004,2.4580599940006005
280,444.55658984184265,96050.34300000004,39442,2.4352300339739372
290,430.6352484226227,96084.83800000002,39898,2.4082620181462735
300,409.3130097389221,94449.22299999998,39495,2.39142228130143
310,402.24515891075134,95644.17400000001,40225,2.377729620882536
320,381.7358441352844,93680.553,39471,2.3734020673405793
330,376.79747557640076,95243.062,40120,2.3739546859421736
340,362.8896782398224,94358.573,39750,2.3738005786163523
350,357.81085562705994,95468.81799999997,40188,2.3755553399024576
360,340.01211810112,93279.638,39084,2.3866451233241226
370,336.85613346099854,94610.90800000002,39453,2.398066256051505
380,332.94330310821533,95976.43900000001,39774,2.4130446774274654
390,324.7982289791107,96072.66999999998,39622,2.4247304527787588
400,334.367977142334,100969.21800000004,41225,2.449222995755004
410,319.33441710472107,98763.028,39968,2.471052542033627
420,318.6827390193939,100655.102,40081,2.5112921833287594
430,317.6605830192566,102402.77900000001,40154,2.5502510086168253
440,318.98786997795105,105373.091,40829,2.58083937887286
450,314.62802934646606,105842.37699999998,40196,2.633156955916011
460,312.27510023117065,107212.58599999997,40134,2.6713655753226684
470,304.51625204086304,106777.35099999997,39181,2.7252329190168694
480,307.4256384372711,109987.781,39912,2.7557571908198035
490,304.0857195854187,111030.32599999999,39439,2.8152419178985264
500,308.06720209121704,114541.15699999998,40071,2.8584551670784353
510,308.57268023490906,116536.03700000004,39962,2.9161712877233383
520,305.460081577301,118014.43199999999,40096,2.9432968874700713
530,305.3779616355896,120077.09399999998,40010,3.0011770557360657
540,317.798757314682,127478.562,41823,3.048049207373933
550,292.6395015716553,118939.423,38189,3.114494304642698
560,292.9606053829193,121398.783,38442,3.157972608084907
570,303.2002456188202,128044.42999999998,39708,3.2246507001108085
580,304.61759305000305,131027.56300000002,40116,3.2662170455678536
590,302.0933802127838,131574.272,39540,3.327624481537683
600,300.9665265083313,133481.79299999995,39752,3.3578635791909828
