PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
150,188.44772052764893,22261.348999999995,23233,0.9581779795979853
160,168.82141733169556,21143.415000000008,24122,0.87651998175939
170,150.5036792755127,19961.365999999998,23726,0.8413287532664586
180,136.82355093955994,19081.536999999993,23217,0.8218778050566392
190,132.0886697769165,19435.271999999994,23937,0.811934327609976
200,123.43076586723328,19105.079999999998,23711,0.8057475433343173
210,113.1689441204071,18405.687999999995,22858,0.8052186543004635
220,112.32669377326965,18962.534999999996,23432,0.809258065892796
230,107.07810258865356,18799.204,22717,0.8275390236386847
240,105.8383162021637,19235.143000000004,23019,0.8356202702115645
250,99.36137008666992,18810.265000000003,22600,0.8323126106194692
260,99.13195276260376,19388.51199999999,22936,0.8453310080223226
270,100.58140707015991,20429.230000000003,23400,0.8730440170940172
280,94.84522986412048,19831.278000000002,22718,0.8729323884144732
290,95.3687584400177,20635.909,23310,0.8852813813813813
300,94.78335475921631,21154.846000000005,23597,0.8965057422553716
310,100.37522840499878,22871.270000000008,24311,0.9407786598659046
320,96.43687343597412,22573.34200000001,23642,0.9547983250148047
330,94.88325333595276,23059.615999999998,24556,0.9390623880110767
340,93.2205274105072,23185.526,23752,0.9761504715392388
350,91.15507173538208,23282.749,23551,0.9886097830240754
360,90.74098420143127,23832.123,23464,1.0156888424821002
370,92.95728421211243,24459.993000000002,23020,1.0625539965247612
380,90.64983868598938,24968.694000000003,23519,1.061639270377142
390,91.83719968795776,25527.761,23530,1.0849027199320016
400,89.55684518814087,25429.74400000001,23027,1.1043446389021587
410,91.2244656085968,25462.622000000007,22664,1.1234831450758915
420,96.39329075813293,26798.310999999998,23909,1.1208461667154628
430,90.82967257499695,25880.36699999999,23032,1.1236699808961441
440,96.07659316062927,26944.215000000004,23992,1.123049974991664
450,92.14108657836914,26933.580999999995,24027,1.1209714487867812
460,90.48237299919128,26061.03,23247,1.1210491676345333
470,92.04635691642761,26235.344999999998,23347,1.1237137533730244
480,94.47503209114075,26800.934000000005,23960,1.1185698664440737
490,89.79407143592834,25487.392999999996,22746,1.120521981886925
500,89.90829086303711,25689.61,22870,1.123288587669436
510,90.28028631210327,25976.735000000004,23202,1.1195903370399105
520,97.31589150428772,26400.612,23405,1.1279902584917754
530,96.6677918434143,26926.191000000003,24140,1.11541801988401
540,91.02528047561646,25430.796999999995,22672,1.1216830010585743
550,92.00299453735352,26498.496000000003,23838,1.1116073496098666
560,91.61712503433228,26234.237999999998,23462,1.1181586395021736
570,86.82742381095886,25107.614999999998,22459,1.117931118927824
580,93.39026021957397,27192.481000000003,24316,1.1182958134561607
590,92.26749229431152,26120.417999999994,23269,1.1225414929734838
600,92.37643241882324,26570.592999999997,23885,1.1124384760309816
