PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,9.789776802062988,2336.1539999999995,1919,1.2173809275664407
2,6.488554954528809,1589.337,1221,1.3016683046683046
3,5.359905958175659,1295.0629999999996,991,1.3068244197780017
4,8.664233207702637,2138.7799999999997,1693,1.2633077377436501
5,6.278140068054199,1560.303,1193,1.3078818105616095
6,9.522836446762085,2385.6129999999994,1865,1.279149061662198
7,6.785669326782227,1666.407,1266,1.316277251184834
8,8.333094835281372,1963.2270000000003,1476,1.3300995934959352
9,6.562384366989136,1613.7029999999997,1259,1.2817339158061951
10,7.12031102180481,1603.771,1177,1.362592183517417
11,10.537435293197632,2664.154999999999,2083,1.2789990398463749
12,6.183108806610107,1524.102,1171,1.301538855678907
13,6.126723766326904,1516.9110000000003,1160,1.3076818965517243
14,6.880535364151001,1726.4059999999997,1335,1.2931880149812731
15,6.234872341156006,1506.6189999999997,1181,1.2757146486028788
16,10.288330078125,2671.162999999999,2062,1.295423375363724
17,6.532201290130615,1587.2000000000005,1211,1.3106523534269203
18,6.547510623931885,1618.137,1242,1.3028478260869565
19,7.471179962158203,1828.366,1411,1.2957944720056698
20,5.531191349029541,1343.3689999999997,1022,1.314451076320939
21,7.573105096817017,1878.4579999999999,1451,1.2945954514128186
22,6.665569305419922,1681.294,1305,1.2883478927203067
23,7.522493124008179,1554.0030000000002,1066,1.4577889305816136
24,6.121917486190796,1416.4009999999998,1113,1.2725974842767294
25,10.038157224655151,2531.818,1978,1.2799888776541963
26,7.424993515014648,1844.0909999999992,1404,1.3134551282051277
27,5.776405572891235,1313.117,957,1.372118077324974
28,5.336344480514526,1261.4160000000004,975,1.2937600000000005
29,6.795600414276123,1691.2710000000004,1298,1.3029822804314333
30,7.103641510009766,1768.4900000000002,1387,1.2750468637346792
31,7.152331590652466,1779.9410000000003,1362,1.306858296622614
32,6.292645215988159,1509.6930000000002,1143,1.3208162729658794
33,8.133260488510132,1999.9190000000006,1566,1.2770874840357602
34,5.387427568435669,1312.0900000000001,995,1.3186834170854274
35,6.479605436325073,1579.4970000000003,1228,1.2862353420195443
36,6.430789232254028,1561.6059999999998,1185,1.3178109704641348
37,6.816416501998901,1675.346,1301,1.28773712528824
38,12.051856994628906,3113.0609999999997,2442,1.2747997542997542
39,5.872270584106445,1447.3869999999995,1103,1.3122275611967358
40,6.656574249267578,1654.6389999999997,1278,1.2947097026604066
41,6.666927814483643,1620.0009999999997,1233,1.3138694241686941
42,6.7885706424713135,1677.355,1298,1.2922611710323575
43,6.19667387008667,1483.7859999999996,1130,1.313084955752212
44,7.5913026332855225,1862.3110000000006,1433,1.2995889741800424
45,9.494977712631226,2403.05,1859,1.2926573426573427
46,7.192681550979614,1798.1950000000004,1392,1.2918067528735635
47,7.082998037338257,1749.4789999999994,1358,1.2882761413843884
48,6.706162452697754,1674.2179999999996,1291,1.2968381099922537
49,5.828955411911011,1430.075,1107,1.2918473351400181
50,5.477970361709595,1326.838,1021,1.2995475024485799
