PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,9.05592966079712,1124.085,1085,1.0360230414746545
2,10.436403512954712,1360.805,1284,1.0598169781931466
3,15.785131931304932,2071.974,1974,1.049632218844985
4,12.222232818603516,1558.574000000001,1403,1.1108866714183898
5,10.99465036392212,1423.5729999999999,1321,1.0776479939439818
6,11.228754043579102,1459.5859999999998,1370,1.0653912408759123
7,8.721503257751465,1124.279,1046,1.0748365200764818
8,11.710435152053833,1532.6190000000001,1446,1.059902489626556
9,19.008536338806152,2499.2529999999992,2375,1.0523170526315786
10,8.392896175384521,1074.5290000000005,1004,1.070248007968128
11,9.957701444625854,1297.4989999999998,1208,1.0740885761589403
12,13.276350736618042,1737.223,1638,1.060575702075702
13,9.793628692626953,1256.783,1184,1.0614721283783783
14,8.835722208023071,1143.217,1062,1.0764755178907721
15,11.581141471862793,1513.0990000000004,1429,1.0588516445066483
16,16.900094032287598,2187.2900000000013,2077,1.053100625902745
17,10.763919830322266,1398.4530000000002,1314,1.064271689497717
18,11.874493598937988,1550.4220000000005,1462,1.060480164158687
19,10.799427032470703,1412.8840000000005,1324,1.0671329305135955
20,8.601277351379395,1105.8569999999997,1038,1.0653728323699418
21,9.420276641845703,1222.5170000000003,1139,1.0733248463564533
22,16.15450406074524,2122.067,2006,1.0578599202392822
23,9.527397394180298,1221.3199999999997,1151,1.0610947002606426
24,10.431718826293945,1361.5240000000006,1265,1.0763035573122535
25,17.715489864349365,2309.7090000000003,2173,1.0629125632765763
26,8.185710668563843,1058.9870000000003,980,1.0805989795918371
27,9.489163398742676,1204.0819999999999,1133,1.06273786407767
28,11.899021625518799,1551.8980000000001,1470,1.055712925170068
29,9.957783937454224,1291.8100000000002,1211,1.0667299752270851
30,11.184325695037842,1461.4389999999996,1369,1.0675230094959822
31,11.603600978851318,1512.5740000000005,1426,1.0607110799438995
32,14.043011903762817,1835.2160000000003,1736,1.0571520737327191
33,9.356616973876953,1208.1339999999998,1127,1.0719911268855367
34,10.020126342773438,1294.7389999999994,1225,1.0569297959183668
35,11.367513179779053,1483.104,1400,1.05936
36,14.146302938461304,1850.0369999999994,1758,1.0523532423208188
37,12.09567928314209,1583.606,1489,1.0635366017461383
38,8.887625694274902,1141.075,1070,1.0664252336448599
39,18.144428968429565,2402.068,2272,1.0572482394366198
40,10.095781564712524,1305.9080000000001,1228,1.063442996742671
41,8.805150032043457,1121.4499999999996,1068,1.0500468164794003
42,8.786509990692139,1147.0729999999996,1066,1.0760534709193241
43,7.096339702606201,897.0849999999999,831,1.0795246690734055
44,9.116125106811523,1180.3029999999999,1108,1.0652554151624547
45,11.193113327026367,1451.5120000000009,1380,1.051820289855073
46,10.511962890625,1360.4960000000003,1290,1.054648062015504
47,8.217292785644531,1055.768,981,1.0762161060142712
48,10.81000018119812,1412.0399999999997,1319,1.0705382865807427
49,8.626891374588013,1103.139,1028,1.0730924124513617
50,10.752995014190674,1393.773,1317,1.0582938496583143
