PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,3.016172409057617,659.735,793,0.8319482976040353
2,2.202394962310791,615.5609999999999,602,1.0225265780730897
3,1.9068083763122559,497.33299999999997,501,0.9926806387225549
4,2.312793016433716,658.873,628,1.0491608280254778
5,2.8571388721466064,796.257,798,0.9978157894736841
6,4.063040733337402,1180.261,1202,0.981914309484193
7,2.521033763885498,706.4060000000001,689,1.0252626995645864
8,2.80381178855896,785.206,793,0.9901715006305171
9,3.0708301067352295,907.0180000000001,868,1.044951612903226
10,2.185694932937622,597.922,578,1.0344671280276818
11,3.006761074066162,850.5200000000001,858,0.9912820512820514
12,2.599825382232666,728.0440000000001,713,1.021099579242637
13,2.886845350265503,807.95,807,1.001177199504337
14,2.9574692249298096,860.451,831,1.0354404332129965
15,3.147017002105713,878.4549999999999,885,0.9926045197740112
16,3.5284228324890137,1023.2040000000002,1027,0.9963037974683546
17,2.2925329208374023,615.9830000000001,608,1.0131299342105264
18,3.810178756713867,969.0529999999999,875,1.1074891428571427
19,3.35213041305542,794.008,772,1.0285077720207254
20,1.9062135219573975,486.6019999999999,478,1.0179958158995814
21,3.0523183345794678,870.4070000000002,880,0.9890988636363638
22,3.4241154193878174,998.8980000000001,999,0.9998978978978981
23,2.0463976860046387,543.239,533,1.0192101313320827
24,3.1931753158569336,940.8150000000002,904,1.040724557522124
25,2.909327745437622,798.5690000000001,819,0.9750537240537241
26,3.3314828872680664,990.4480000000001,958,1.0338705636743215
27,2.1022419929504395,576.2270000000001,570,1.010924561403509
28,1.8890316486358643,497.73300000000006,490,1.0157816326530613
29,2.412675142288208,669.484,671,0.9977406855439643
30,4.623213052749634,1400.2160000000001,1378,1.0161219158200292
31,2.3969132900238037,638.888,644,0.9920621118012423
32,2.964676856994629,858.4670000000001,829,1.0355452352231604
33,3.6147031784057617,1028.8339999999998,1003,1.025756729810568
34,2.4638662338256836,689.534,676,1.0200207100591716
35,2.1415064334869385,568.522,569,0.9991599297012304
36,2.7923309803009033,772.172,758,1.0186965699208443
37,2.375950336456299,656.3760000000001,641,1.0239875195007802
38,3.797916889190674,1115.361,1132,0.9853012367491167
39,2.5745151042938232,743.429,702,1.0590156695156694
40,2.8017892837524414,761.518,783,0.9725644955300128
41,2.349827527999878,668.101,635,1.052127559055118
42,2.912592649459839,807.899,817,0.9888604651162791
43,4.411123037338257,1292.333,1258,1.02729173290938
44,2.447117805480957,696.377,661,1.053520423600605
45,2.9283204078674316,714.0790000000001,655,1.0901969465648855
46,3.3405189514160156,790.3520000000001,746,1.0594530831099196
47,4.061340808868408,994.5800000000002,928,1.0717456896551725
48,3.7853477001190186,915.9819999999999,856,1.0700724299065418
49,2.6158149242401123,609.3100000000001,549,1.1098542805100182
50,2.71048641204834,613.0590000000001,606,1.0116485148514853
