PowerCap(W),TimeTaken(s),TotalEnergy(J),TotalTokens,EnergyPerToken
150,3042.4209575653076,358369.33499999996,184325,1.9442253356842532
160,2562.207349061966,321874.33200000005,176456,1.8241053407081655
170,2113.349800825119,281815.1689999998,162470,1.734567421677847
180,1851.442215204239,261150.02099999983,158546,1.6471561628801725
190,1605.8868372440338,238868.7609999999,151281,1.5789739689716482
200,1668.2279257774353,261141.84399999987,171131,1.5259762637979084
210,1482.372923374176,242852.36299999995,165835,1.4644216419935476
220,1481.4331345558167,254238.538,177709,1.4306452571338537
230,1270.3943717479706,227916.50699999998,162432,1.4031502844267139
240,1401.805475950241,262428.79600000003,189761,1.3829437871849328
250,1270.3821125030518,247450.49599999998,181424,1.3639347385130962
260,1269.4987080097198,256550.592,190206,1.3488038863127347
270,1281.3236646652222,269068.6230000001,199717,1.3472494730043014
280,1124.4747021198273,244519.618,181823,1.344822261210078
290,1114.199253320694,250642.028,186498,1.3439394953297086
300,1054.252819776535,245176.77000000002,181891,1.3479323880785747
310,1002.7236013412476,240752.15199999997,178630,1.3477699826456921
320,935.1053373813629,231230.65699999998,171484,1.3484095134239928
330,1119.4073553085327,285518.061,208778,1.3675677561812067
340,1029.1836359500885,270016.93900000013,196242,1.375938580935784
350,927.3905141353607,249794.598,179879,1.3886812690753227
360,922.9744095802307,255287.51500000013,181369,1.407558706283875
370,957.7201945781708,272236.8389999999,191280,1.4232373431618566
380,941.7976417541504,274859.16099999996,186788,1.471503313917382
390,880.1268813610077,262621.432,177796,1.4770941528493329
400,827.6110806465149,253044.89399999994,169194,1.4955902336962301
410,872.398668050766,273673.09199999995,179172,1.5274322550398496
420,850.1131076812744,272130.631,174237,1.5618418074232223
430,922.0971817970276,303175.11000000004,191438,1.5836725728434273
440,861.8255040645599,289160.795,179510,1.6108339089744304
450,812.2915890216827,278163.5340000001,169297,1.64305057975038
460,886.0497281551361,310037.45699999994,185187,1.674185860778564
470,797.7390756607056,284771.7440000001,167876,1.6963219519168917
480,778.1040167808533,282807.217,163159,1.733322813942228
490,928.9963583946228,345397.8049999999,195432,1.767355422858078
500,879.4989273548126,331602.25499999995,184859,1.7938117970994105
510,921.5636496543884,352659.85900000005,194069,1.8171880052970852
520,814.4721143245697,316711.148,172547,1.8355065460425275
530,927.1334891319275,363581.6889999999,195768,1.8572069439336352
540,729.2843885421753,283880.007,153855,1.8451139514477917
550,804.2126712799072,312665.64700000006,168738,1.852965230120068
560,763.6538047790527,299843.65400000004,161896,1.8520757399812227
570,919.1058416366577,359839.839,193613,1.8585520548723484
580,938.3328790664673,364839.348,196450,1.8571613540341054
590,721.2725186347961,278381.895,150954,1.8441505028021783
600,938.8510098457336,367141.219,197013,1.863538035561105
