PowerCap(W),TimeTaken(s),TotalEnergy(J),TotalTokens,EnergyPerToken
600,718.569313287735,178292.54400000008,137373,1.2978718088707395
590,707.2016201019287,176267.28399999999,134199,1.313476881347849
580,715.2880821228027,176501.12699999998,133829,1.3188556067817885
570,721.5163178443909,179136.865,136020,1.3169891560064695
560,714.3344349861145,177069.91999999998,134652,1.3150188634405726
550,722.0449123382568,179251.60999999993,135913,1.3188702331638615
540,730.3929414749146,182052.919,137938,1.3198170119908945
530,709.8322682380676,177278.227,134320,1.3198200342465753
520,719.200852394104,179914.89300000004,136697,1.316158313642582
510,728.4921915531158,182572.723,138434,1.3188430804571132
500,728.7679905891418,182836.43400000007,138826,1.3170186708541634
490,715.082759141922,178848.087,135631,1.318637236325029
480,721.5210082530975,180407.79600000003,136847,1.318317507873757
470,718.7331168651581,179750.71400000007,136328,1.3185164749721265
460,725.5021245479584,181355.24599999996,137226,1.321580793727136
450,711.7317645549774,178285.32100000005,134746,1.32312143588678
440,720.6868002414703,180122.05500000002,135697,1.3273842089360857
430,709.3228280544281,177037.08199999997,133573,1.32539571620013
420,722.4951403141022,180938.93599999996,135884,1.3315691030584909
410,724.003764629364,181383.37300000002,136380,1.3299851371168794
400,715.5578846931458,179114.54899999997,134984,1.3269317030166536
390,736.3916702270508,184879.17099999997,139074,1.3293582625077296
380,727.3933889865875,182978.89600000007,137742,1.3284175923102617
370,715.796128988266,179679.12899999996,135281,1.328191904258543
360,715.9254131317139,179148.94099999996,134527,1.331695057497751
350,727.5800151824951,180986.234,136923,1.321810316747369
340,715.1867113113403,175693.03100000002,135347,1.298093278757564
330,728.5815975666046,174790.94499999998,137204,1.2739493382117137
320,716.4261176586151,166818.94299999997,134007,1.244852455468744
310,723.0494632720947,163208.85000000003,134105,1.2170228552253834
300,734.9926218986511,161679.98500000004,135979,1.189007015789203
290,735.6253128051758,157282.12799999994,136235,1.1544913421661096
280,755.940603017807,156306.72199999992,137464,1.1370738666123488
270,747.579300403595,149477.19500000004,135167,1.105870478741113
260,780.4330732822418,150979.495,138456,1.0904510819321662
250,790.1911072731018,147470.25800000006,138283,1.0664380871112145
240,812.8901054859161,146087.93300000002,138341,1.0559988217520475
230,835.067305803299,144340.75799999994,138073,1.0453945231870094
220,854.2554717063904,141648.60700000005,136250,1.039622803669725
210,886.9911730289459,140949.50800000003,136025,1.0362029626906821
200,928.8223724365234,141391.26799999995,136259,1.037665534019771
190,998.191241979599,144125.1060000001,138712,1.0390240642482271
180,1048.760178565979,143810.806,136675,1.052210031095665
170,1131.0514693260193,147365.36599999995,136395,1.080430851570805
160,1234.5393552780151,152095.71300000002,135501,1.1224693028095736
150,1378.2288060188293,160137.46300000002,136159,1.176106338912595
