PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,5.86828088760376,1239.586,1072,1.156330223880597
2,7.148651123046875,1747.118,1318,1.3255827010622154
3,6.20574164390564,1488.279,1159,1.2841061259706643
4,7.01192307472229,1725.3559999999998,1295,1.3323212355212353
5,6.562320947647095,1603.6059999999998,1257,1.2757406523468575
6,7.7270731925964355,1909.791,1485,1.2860545454545453
7,5.370107889175415,1316.8680000000004,992,1.327487903225807
8,6.253997325897217,1508.606,1134,1.3303403880070546
9,10.916967630386353,2790.4790000000003,2165,1.2889048498845266
10,6.797328948974609,1663.9750000000004,1289,1.2909038013964316
11,5.445121765136719,1286.8699999999997,975,1.3198666666666663
12,8.3672776222229,2088.43,1607,1.2995830740510266
13,5.757432699203491,1420.9099999999999,1082,1.3132255083179296
14,6.239325284957886,1530.2899999999997,1156,1.3237802768166087
15,7.543717622756958,1900.4080000000004,1476,1.287539295392954
16,11.864761352539062,2744.377,2091,1.3124710664753707
17,6.102898120880127,1533.1419999999998,1154,1.3285459272097053
18,8.924112558364868,2245.3170000000014,1727,1.300125651418646
19,6.712427616119385,1651.127,1286,1.2839245723172628
20,5.956768035888672,1423.321,1084,1.3130267527675277
21,6.062379598617554,1465.5600000000002,1115,1.3144035874439464
22,9.07453989982605,2293.9010000000003,1771,1.295257481648786
23,6.978423595428467,1450.2399999999998,1048,1.3838167938931296
24,7.156214714050293,1813.3010000000006,1397,1.2979964209019332
25,13.563843011856079,3003.9989999999984,2224,1.3507189748201431
26,5.633998870849609,1373.908,1037,1.324887174541948
27,6.753393650054932,1634.7099999999996,1237,1.3215117219078412
28,7.060420513153076,1751.096,1366,1.2819150805270865
29,7.323902130126953,1822.2869999999998,1414,1.2887461103253182
30,6.651510715484619,1652.6979999999996,1273,1.2982702278083265
31,8.927968740463257,2216.9739999999993,1682,1.3180582639714622
32,7.72113823890686,1882.515000000001,1442,1.3054889042995845
33,6.1407246589660645,1513.9660000000003,1171,1.2928830059777972
34,7.050158262252808,1772.0109999999997,1368,1.295329678362573
35,6.037112236022949,1498.628,1148,1.305425087108014
36,8.672279119491577,2157.547,1640,1.3155774390243902
37,8.136224269866943,2010.0110000000002,1575,1.2761974603174604
38,5.634607315063477,1376.2760000000003,1042,1.3208023032629561
39,15.698636531829834,4124.009000000001,3194,1.2911737633061995
40,6.147026062011719,1545.349,1178,1.3118412563667232
41,5.445674419403076,1305.1680000000003,1005,1.298674626865672
42,5.7400803565979,1420.3970000000002,1066,1.332454971857411
43,6.211069107055664,1483.4589999999994,1131,1.3116348364279393
44,6.346914052963257,1545.7509999999997,1186,1.303331365935919
45,6.746863126754761,1694.4170000000001,1284,1.3196394080996885
46,7.001434087753296,1715.3060000000003,1344,1.2762693452380955
47,6.586177110671997,1623.0120000000002,1241,1.3078259468170832
48,7.331284523010254,1789.5960000000002,1350,1.3256266666666667
49,5.794617414474487,1385.331,1045,1.3256755980861243
50,6.89919376373291,1715.001,1306,1.3131707503828485
