PowerCap(W),TimeTaken(s),TotalEnergy(J),TotalTokens,EnergyPerToken
150,218.66737413406372,25724.146999999994,28688,0.8966866634132736
160,200.34030652046204,25043.958000000017,28928,0.8657341675884962
170,178.3529839515686,23706.46900000001,28282,0.8382175588713673
180,160.73810029029846,22547.434999999994,27166,0.8299873003018476
190,151.3869240283966,22213.891999999993,27398,0.8107851668004961
200,148.21551418304443,22669.142000000007,27531,0.8234042352257458
210,144.3992898464203,23178.662000000008,27963,0.8289046954904699
220,132.31798601150513,22425.837000000007,27578,0.8131785118572777
230,130.45325565338135,22978.487999999998,28058,0.8189638605745241
240,126.8584234714508,23353.220000000005,28257,0.8264578688466576
250,121.09415316581726,23135.252000000004,27668,0.8361736301864972
260,117.06917786598206,23191.794000000013,27575,0.841044206708976
270,114.96315050125122,23481.864000000005,27602,0.8507305267734224
280,109.56007313728333,23117.959000000003,26628,0.8681823268739673
290,118.38196587562561,25529.983,27933,0.9139721118390435
300,115.21065998077393,25552.16700000001,27531,0.9281234608259783
310,113.68183875083923,25908.806000000004,27257,0.9505376967384527
320,113.32648062705994,26668.959000000003,27267,0.9780672241170647
330,120.38188934326172,28856.876000000007,27846,1.0363023773612012
340,106.01315355300903,26418.399999999998,26989,0.9788580532809662
350,110.36179304122925,28377.492999999988,28250,1.0045130265486721
360,110.45892524719238,29244.040000000008,28630,1.0214474327628364
370,104.0845320224762,28026.619000000006,26807,1.0454962882829113
380,111.26315379142761,29858.267000000007,27336,1.092269059116184
390,116.18621444702148,31491.728000000014,28501,1.1049341426616615
400,109.7886688709259,31622.100000000006,28685,1.1023914938120971
410,114.32458972930908,31046.281000000006,27645,1.1230342195695426
420,111.65585780143738,31170.36600000001,27752,1.1231754828480833
430,111.02796125411987,31642.470000000005,28333,1.1168061977199732
440,105.04516553878784,30476.216000000008,27298,1.1164266979265882
450,109.7450499534607,30832.769000000008,27568,1.1184260374347073
460,110.78896427154541,31536.541999999994,28134,1.1209405701286697
470,108.78866767883301,31688.85099999999,28370,1.1169845259076485
480,109.90588331222534,30651.450000000004,27287,1.1232986403782022
490,110.41561794281006,30871.796000000006,27493,1.1228965918597462
500,105.5584077835083,30540.295,27370,1.1158310193642673
510,106.2139835357666,30774.573000000004,27547,1.1171660434893094
520,104.5880126953125,29624.695000000003,26460,1.1196029856387
530,108.09151530265808,31261.485,28017,1.1158041546204092
540,113.96407842636108,30169.004000000004,26706,1.1296713847075566
550,114.41608357429504,30706.591000000008,27375,1.1217019543378999
560,106.122150182724,30133.73199999999,27044,1.1142483360449633
570,109.0394492149353,31254.710999999996,28022,1.115363321675826
580,115.38962411880493,32580.692,28928,1.1262683904867257
590,108.40577816963196,31271.023000000005,27901,1.1207850256263219
600,118.08298969268799,31822.548000000006,28064,1.1339277366020526
