PowerCap(W),TimeTaken(s),TotalEnergy(J),TotalTokens,EnergyPerToken
150,797.8919212818146,93320.09000000004,68912,1.3541921581146976
160,726.1926822662354,90186.51499999997,69393,1.299648595679679
170,653.3837015628815,85909.024,69384,1.238167646719705
180,575.1793711185455,79685.42099999997,66532,1.1977006703541149
190,549.3173334598541,79907.98999999998,69055,1.1571644341466942
200,508.2625193595886,77210.37400000004,68253,1.131237806396789
210,469.16084933280945,74452.83500000004,66527,1.1191371172606617
220,460.0984003543854,76237.505,68916,1.106238101456846
230,426.082222700119,73566.07499999998,66719,1.1026255639323128
240,426.78426337242126,76789.26900000001,69811,1.0999594476515164
250,409.25859785079956,76389.77,69086,1.1057199722085518
260,392.6886360645294,75689.556,67655,1.118757756263395
270,387.4788258075714,77174.15500000001,68252,1.1307237150559692
280,381.07516288757324,78591.35300000002,68667,1.144528711025675
290,368.15135407447815,78453.28400000001,67172,1.1679462275948314
300,369.8556959629059,81066.41999999998,68146,1.1895990960584624
310,364.730596780777,82389.79799999997,67268,1.2247992804899799
320,365.873987197876,84995.89899999999,68171,1.2468043449560662
330,348.2981057167053,83150.97799999999,66313,1.2539166980833318
340,351.9648563861847,86341.14900000002,67094,1.2868684085015056
350,347.1064636707306,87740.182,67516,1.2995465074945198
360,355.1920084953308,91988.40499999997,67950,1.3537660779985279
370,352.4683635234833,93724.48000000004,69060,1.3571456704315095
380,346.6904454231262,94462.58000000007,67610,1.3971687620174542
390,344.9124298095703,96129.365,67555,1.422979276145363
400,355.1267685890198,101278.571,69681,1.4534603550465692
410,354.83148765563965,103559.36000000004,70187,1.475477795033269
420,346.30553364753723,102618.619,68153,1.5057094918785674
430,342.5987193584442,102967.24900000003,66994,1.536962250350778
440,340.05336570739746,103230.114,66082,1.5621517811204262
450,340.99374771118164,103889.98399999998,66224,1.5687663686880886
460,349.68447399139404,107504.89800000002,68405,1.5715941524742345
470,350.2288866043091,107236.386,68280,1.5705387521968366
480,338.44898104667664,104871.29800000004,66681,1.5727313327634564
490,356.0616261959076,107208.27899999998,68364,1.568197867298578
500,348.94588804244995,106566.77599999998,67993,1.5673198123336223
510,346.66974687576294,105875.78599999998,67571,1.5668820351926118
520,341.47789216041565,105335.54700000004,67233,1.5667238855918975
530,349.5063238143921,106303.12400000004,67665,1.5710208231729852
540,330.4425928592682,101063.40500000004,64551,1.5656365509442154
550,347.1574037075043,107525.63300000005,68676,1.565694463859282
560,347.9015369415283,106014.679,67732,1.5652081586251698
570,344.44873237609863,106524.51100000003,68081,1.5646731246603316
580,347.9369411468506,107075.20899999999,68326,1.5671224570441704
590,341.0368847846985,102618.309,65701,1.5618987382231624
600,338.77285742759705,103441.73800000003,66041,1.5663260398843146
