PowerCap(W),TimeTaken(s),TotalEnergy(J),TotalTokens,EnergyPerToken
150,437.7803897857666,51095.117000000006,38771,1.3178694642903201
160,411.5304696559906,51099.305,40213,1.2707160619700097
170,359.67431902885437,47217.80000000001,38689,1.2204450877510407
180,341.74408507347107,47150.72399999998,40114,1.17541815824899
190,613.981207370758,90098.16499999998,76492,1.1778769675260155
200,310.4125576019287,47170.82499999999,42250,1.1164692307692305
210,284.9874703884125,45033.026999999995,41211,1.0927428841814077
220,282.09830236434937,46686.058,42948,1.087036835242619
230,231.2553551197052,39483.23400000003,36426,1.0839299950584755
240,250.14281678199768,44831.380000000005,41294,1.085663292488013
250,255.04125928878784,47388.31199999998,43330,1.0936605585045
260,231.5638666152954,44305.52599999999,40274,1.1001024482296269
270,284.7213213443756,56894.978,50781,1.1203989287331877
280,222.9137167930603,45601.06199999999,40102,1.137126876465014
290,217.3929352760315,45888.031,39911,1.1497589887499688
300,225.95517468452454,49235.367000000006,42042,1.1710995433138291
310,208.69743061065674,46698.34199999999,39322,1.1875881694725596
320,204.91831278800964,47058.664999999986,38809,1.2125709242701432
330,207.17252850532532,48932.71,39457,1.2401528245938616
340,228.4347379207611,55792.33100000003,44686,1.2485416237747846
350,216.82713651657104,53810.83099999998,41812,1.2869709891897056
360,210.00935864448547,52904.94199999997,39438,1.3414712206501338
370,215.70050239562988,56130.51100000001,41796,1.3429637046607334
380,213.80971884727478,57000.20200000001,41758,1.3650127400737586
390,202.0068941116333,54810.87599999999,39315,1.3941466615795495
400,214.6770577430725,59508.264,41954,1.4184169328311962
410,207.61463260650635,57798.371,39848,1.4504710650471793
420,215.61984944343567,62371.84399999997,42687,1.4611437674233365
430,368.3484880924225,113004.48700000001,74077,1.5255003172374693
440,203.27514338493347,59202.693,39817,1.4868697541251223
450,375.3102972507477,117108.15700000004,74903,1.5634641736646067
460,204.46828246116638,57843.21800000002,38608,1.4982184521342732
470,205.3191123008728,58514.15500000003,39521,1.4805838668049904
480,215.61289501190186,61080.44499999999,41223,1.4817079057807532
490,221.77596139907837,61409.96,41378,1.484121030499299
500,208.21336317062378,60241.081999999995,40713,1.4796522486675017
510,205.30678153038025,59492.13399999999,40090,1.4839644300324268
520,204.45098853111267,59171.20200000003,38931,1.5198993604068745
530,226.31761479377747,65631.229,44392,1.4784472202198595
540,216.81840753555298,62288.491000000016,41992,1.4833418508287297
550,213.44755601882935,61979.632000000034,41791,1.4830856404489012
560,202.46717405319214,58532.59399999999,39370,1.4867308610617218
570,210.71572542190552,61469.86900000002,41481,1.4818801137870354
580,201.46986508369446,57097.505000000005,38392,1.487224031048135
590,214.17890906333923,62201.05600000002,41910,1.4841578620854217
600,203.27888417243958,58732.34599999999,39542,1.485315512619493
