PowerCap(W),TimeTaken(s),TotalEnergy(J),TotalTokens,EnergyPerToken
150,1363.1319706439972,159496.01400000005,76236,2.0921351330080284
160,1290.409187078476,160941.025,80087,2.0095773970806747
170,1122.6720950603485,148552.174,77862,1.9078905499473426
180,1010.079404592514,140913.9,77929,1.8082344185091557
190,928.1459183692932,136326.70299999998,78638,1.7335982985325158
200,831.9284851551056,128440.82599999997,76804,1.6723194885683033
210,785.1149368286133,126975.42199999998,78400,1.619584464285714
220,757.2645902633667,127846.771,80947,1.5793886246556388
230,679.0379540920258,119337.04700000004,76971,1.5504157020176434
240,634.3981645107269,115894.24599999998,75908,1.5267724877483266
250,622.8626203536987,118555.575,78560,1.5091086430753564
260,611.1031968593597,120502.289,80340,1.4999040204132437
270,577.6600723266602,117954.736,78597,1.5007536674427777
280,551.9821133613586,116773.10199999998,77875,1.4994940866773674
290,531.7016746997833,116230.53499999999,76649,1.516399887800232
300,524.9126706123352,118591.53999999998,78468,1.5113363409287859
310,521.2302694320679,121397.906,79521,1.5266144288929968
320,516.6839985847473,123962.59499999999,80223,1.5452251224711115
330,494.2248179912567,121783.082,78009,1.5611414323988257
340,500.34884214401245,127258.79799999995,79976,1.59121233870161
350,496.8244287967682,128981.42300000004,79102,1.6305709463730378
360,486.9158408641815,130064.32500000001,78786,1.6508557992536748
370,474.2568235397339,130088.38699999999,77460,1.679426633100955
380,477.2896237373352,134271.17500000005,78508,1.7102865313089117
390,490.21999955177307,141781.19000000003,81321,1.7434757319757508
400,464.52352643013,136855.56399999998,76930,1.7789622253997137
410,470.6814703941345,142053.695,78533,1.808840805775916
420,459.7746434211731,142299.46400000007,77848,1.827914191758299
430,455.74093103408813,144072.49099999998,77341,1.862821672851398
440,462.9639427661896,148827.958,77773,1.9136198680776106
450,464.39430046081543,153350.472,79002,1.9410960735171263
460,471.27580404281616,158723.27199999997,79256,2.0026656909256078
470,457.0292091369629,154147.834,75851,2.0322452439651424
480,456.94600892066956,159241.71899999998,77518,2.0542547408343865
490,469.55877590179443,165676.32499999998,79647,2.0801326478084547
500,458.493501663208,161147.73700000002,77085,2.0905200363235394
510,442.28300285339355,156929.52500000002,74905,2.095047393364929
520,454.37666964530945,160846.53799999997,76707,2.0968951725396634
530,466.26144647598267,165595.456,78761,2.102505757925877
540,463.3134686946869,165930.34100000007,78817,2.1052608066787633
550,457.0543074607849,162146.01499999998,77208,2.100119352916796
560,452.5289134979248,160896.80299999999,76478,2.103831206359999
570,427.1568832397461,153165.82000000004,73106,2.0951196892183956
580,462.940306186676,161037.21199999997,76705,2.0994356560850007
590,455.3676815032959,161067.85799999995,76871,2.0953006725553194
600,453.2387228012085,161506.38600000006,77059,2.0958795987490113
