PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,6.354476690292358,1958.1470000000002,2122,0.9227836946277098
2,2.4423165321350098,689.5040000000002,757,0.9108375165125498
3,4.78934121131897,1632.4050000000002,1671,0.9769030520646321
4,3.989759922027588,1297.0770000000002,1355,0.9572523985239854
5,31.335392236709595,10776.023000000005,8166,1.319620744550576
6,3.2504217624664307,716.2260000000001,625,1.1459616000000001
7,1.6929371356964111,543.586,576,0.9437256944444444
8,3.7039530277252197,1147.1480000000001,1224,0.9372124183006537
9,2.259002208709717,622.5540000000001,626,0.9944952076677318
10,4.246730327606201,1315.016,1413,0.9306553432413306
11,2.1727964878082275,638.613,713,0.8956704067321178
12,3.7229692935943604,1242.3200000000002,1333,0.9319729932483122
13,6.3324315547943115,2127.275,2124,1.0015419020715632
14,2.9475817680358887,865.36,941,0.9196174282678002
15,7.362077951431274,2504.0499999999997,2476,1.0113287560581583
16,5.197339773178101,1672.3519999999999,1698,0.9848951707891637
17,2.2732582092285156,661.8860000000001,695,0.9523539568345325
18,3.5630645751953125,1185.0200000000002,1273,0.9308876669285154
19,8.498447179794312,2895.0700000000006,2812,1.0295412517780942
20,2.8366336822509766,804.913,865,0.9305352601156069
21,4.830399036407471,1636.1749999999997,1678,0.9750744934445768
22,12.56281042098999,4242.568000000001,3918,1.0828402246043902
23,4.759660720825195,1426.42,1461,0.976331279945243
24,3.476869583129883,1065.411,1125,0.9470320000000001
25,17.88681674003601,5888.015,5132,1.1473139127045986
26,3.6857619285583496,1022.508,1016,1.0064055118110236
27,2.0500996112823486,631.822,682,0.926425219941349
28,5.3576154708862305,1817.2630000000001,1854,0.9801850053937433
29,4.771710395812988,1574.394,1593,0.9883201506591337
30,4.298681974411011,1383.6380000000001,1448,0.9555511049723758
31,5.296173810958862,1761.8999999999999,1787,0.9859541130386121
32,5.227920770645142,1692.0080000000003,1749,0.967414522584334
33,2.7826924324035645,856.109,903,0.9480719822812846
34,5.138708829879761,1710.8339999999998,1773,0.9649373942470388
35,1.6295311450958252,463.269,473,0.9794270613107823
36,6.425133943557739,2160.9159999999993,2206,0.9795630099728011
37,2.115353584289551,621.943,618,1.0063802588996764
38,2.0459144115448,631.912,708,0.8925310734463278
39,7.267190933227539,2422.6029999999996,2443,0.9916508391322143
40,3.0460896492004395,936.3990000000002,969,0.966356037151703
41,5.861780881881714,1813.2289999999998,1840,0.9854505434782608
42,4.789904356002808,1473.8319999999999,1485,0.9924794612794612
43,2.1309473514556885,621.896,676,0.91996449704142
44,2.8331456184387207,953.886,1006,0.948196819085487
45,5.775634765625,1906.7250000000004,1966,0.9698499491353003
46,2.879359006881714,894.224,914,0.9783632385120351
47,2.533782482147217,724.5810000000001,764,0.9484044502617803
48,32.39988112449646,10724.639000000008,8171,1.3125246603842868
49,4.293760299682617,1067.652,1035,1.0315478260869566
50,4.396180152893066,1473.8410000000006,1517,0.971549769281477
