PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
150,786.0415730476379,92012.378,101473,0.9067671006080434
160,610.8807294368744,76038.23499999996,92457,0.8224172858734325
170,817.7727091312408,107795.63999999987,126924,0.8492928051432342
180,556.2066287994385,77623.71399999993,100251,0.774293662906105
190,375.75527715682983,55088.80999999997,78771,0.699353950057762
200,488.0666265487671,74954.78899999993,100574,0.7452700399705683
210,437.45161056518555,70200.66599999994,97110,0.7228984244670985
220,460.83863162994385,77626.84299999995,102912,0.7543031230565915
230,400.2037603855133,70234.681,98430,0.7135495377425581
240,372.41683173179626,68289.303,94182,0.7250780722431037
250,263.1191077232361,49786.38199999999,72927,0.6826879207975097
260,421.0210156440735,83050.54399999998,106352,0.7809025124116141
270,355.0474302768707,72751.869,96563,0.7534135124219422
280,444.8678295612335,94324.72399999996,118721,0.7945074923560277
290,433.2436788082123,95269.63999999994,115037,0.8281651990229225
300,283.09824228286743,63658.60999999999,82826,0.768582449955328
310,290.87635946273804,67514.92599999999,86617,0.7794650703672489
320,351.8210828304291,84587.47000000002,101041,0.8371598657970528
330,410.90798783302307,101766.02100000001,116253,0.8753840417021497
340,307.1917440891266,77874.61900000004,93003,0.8373344838338552
350,273.6195902824402,71486.40800000001,84518,0.8458128209375518
360,394.1927032470703,106211.802,114121,0.9306946311371264
370,298.85838174819946,82342.93999999997,91429,0.9006216845858532
380,300.23950123786926,84394.927,91979,0.9175456028006392
390,387.76600074768066,112467.991,111626,1.0075429649006504
400,365.7507469654083,107935.81200000002,107494,1.0041101084711708
410,299.5555238723755,91093.34199999999,91785,0.9924643678160918
420,244.66008520126343,75416.08799999996,77892,0.9682135264211981
430,381.85383772850037,121342.088,111692,1.086399097518175
440,274.91347074508667,89058.12000000002,86405,1.0307056304612003
450,281.6401467323303,92166.03399999999,87717,1.0507203164722914
460,358.12108969688416,117873.21500000001,107185,1.0997174511358867
470,356.7356381416321,117776.336,105628,1.1150105653803914
480,318.0390040874481,103522.95300000001,96021,1.0781282531946137
490,348.61884236335754,114539.784,105251,1.0882536412955697
500,351.8437542915344,115561.08700000003,104953,1.1010746429354095
510,369.8284206390381,121470.81499999996,108540,1.1191340980283762
520,350.33047008514404,115013.00699999997,105364,1.0915778349341327
530,335.9234297275543,109858.34899999997,101800,1.079158634577603
540,254.116765499115,81699.91900000002,80268,1.0178392260925901
550,281.5204429626465,90895.15700000004,86375,1.052331774240232
560,307.3463261127472,100195.74100000004,92490,1.083314315061088
570,282.3856427669525,92353.67600000002,87379,1.0569321690566387
580,265.3982005119324,86793.37299999999,83182,1.0434153182178836
590,290.1095721721649,94777.01800000001,89200,1.0625226233183858
600,364.26096749305725,118233.63100000004,108094,1.0938038281495739
