PowerCap(W),TimeTaken(s),TotalEnergy(J),TotalTokens,EnergyPerToken
150,1032.1480901241302,120767.79999999997,130628,0.9245169488930396
160,646.662346124649,80712.36399999997,102440,0.787898906677079
170,696.319497346878,92151.63399999993,118044,0.7806549591677674
180,538.6513025760651,75174.61199999996,103227,0.7282456334098634
190,573.2163047790527,84299.07499999995,113259,0.744303543206279
200,508.3628227710724,78391.30199999995,108021,0.7257042797233867
210,429.9360809326172,69315.49699999996,99480,0.6967782167269799
220,489.9865562915802,82338.05399999999,114023,0.7221179411171429
230,490.51799726486206,86180.67599999992,118435,0.7276622282264527
240,498.64893889427185,91652.56999999993,123854,0.7400049251538096
250,410.9273610115051,77877.26999999996,108026,0.7209122803769459
260,468.96224880218506,92664.89299999995,121536,0.7624481059110054
270,569.0195031166077,116687.4479999999,144841,0.8056244295468817
280,434.457715511322,92218.16199999998,118703,0.7768814773004893
290,413.27854561805725,90561.77299999997,115449,0.7844309868426749
300,421.10436725616455,95631.57599999994,116795,0.8187985444582383
310,416.0280740261078,97206.04399999997,119225,0.8153159488362337
320,377.04417514801025,90755.30700000002,110889,0.8184338121905691
330,305.3115472793579,75396.252,95282,0.7912958586091811
340,415.05774450302124,105854.61599999998,122554,0.8637385642247497
350,344.82446026802063,90221.499,106022,0.8509696006489219
360,457.82475900650024,123517.81399999998,130676,0.945221877008785
370,536.7903251647949,148594.44900000002,150976,0.9842256318885122
380,356.8403830528259,100817.93899999998,109108,0.9240196777504857
390,318.1532986164093,91883.247,100875,0.9108624237918216
400,392.0125560760498,116427.32300000005,119197,0.9767638698960548
410,447.1637282371521,136283.27899999998,131367,1.0374240029840065
420,418.77955317497253,129841.84999999999,123641,1.0501520531215374
430,398.7563726902008,126167.70000000003,119240,1.0580987923515601
440,370.19981122016907,119889.82100000004,113786,1.053642987713779
450,378.99301528930664,122367.638,115143,1.062744917189929
460,442.2670867443085,144871.053,129766,1.1164022394155635
470,500.27125000953674,165404.74700000006,145174,1.139355166903165
480,343.2779052257538,110477.018,107106,1.0314736616062592
490,398.3329510688782,128880.55799999998,119442,1.0790221027779172
500,305.0870521068573,98573.72300000004,95925,1.0276124367995834
510,302.8505096435547,98861.399,95303,1.0373377438275815
520,393.075581073761,128372.32300000002,116274,1.1040501143849872
530,429.26726174354553,140145.70700000005,127215,1.1016445151908192
540,401.93534421920776,131207.29400000002,120353,1.0901871494686466
550,448.7730848789215,146448.53800000003,130341,1.1235799786713316
560,328.3823969364166,106688.29599999999,102681,1.0390266553695424
570,490.21773624420166,160239.52900000007,139683,1.1471655749089014
580,448.59748935699463,147439.21200000006,132075,1.1163294491766047
590,297.59087109565735,96731.96299999996,95304,1.0149832430957773
600,414.11308884620667,134173.01299999998,123376,1.087513073855531
