PowerCap(W),TimeTaken(s),TotalEnergy(J),TotalTokens,EnergyPerToken
150,624.5972037315369,73322.58200000002,85141,0.8611900494473875
160,537.6771025657654,67124.324,81419,0.824430710276471
170,510.0273995399475,67404.44299999997,84981,0.7931707440486694
180,456.25478768348694,63462.071000000025,82238,0.771687917994115
190,419.69255924224854,61335.635,80855,0.7585880279512708
200,413.06167364120483,63643.229,84817,0.7503593501302804
210,383.302396774292,61844.56300000002,82705,0.7477729641496889
220,364.3477714061737,61314.702,81818,0.7494035786746193
230,350.2809784412384,61603.26900000001,81785,0.7532343216971328
240,343.7002832889557,62742.751000000004,82866,0.7571591605724906
250,330.88666462898254,62619.062,82011,0.763544670836839
260,319.77868485450745,62707.136999999966,81124,0.7729788595236917
270,314.88645005226135,63837.85300000001,81686,0.7815029870479643
280,308.825156211853,64670.83500000001,81331,0.7951560290664077
290,304.2327756881714,65796.85800000002,81194,0.8103660122669165
300,298.3746852874756,66514.959,80520,0.8260675484351714
310,305.04106402397156,70132.394,83472,0.8401906507571402
320,302.52292108535767,71607.13099999998,82698,0.8658870952139106
330,303.13538551330566,73749.84100000001,83821,0.8798492143973469
340,295.1520857810974,73600.73199999999,81531,0.9027330953870306
350,302.6845338344574,77091.222,81884,0.9414686874114601
360,302.1593201160431,79349.63100000001,83354,0.9519594860474603
370,290.05850887298584,77904.08000000003,80400,0.968956218905473
380,296.3580684661865,81774.12300000004,82851,0.9870022449940259
390,299.2494578361511,83258.83400000003,82845,1.0049952803428093
400,292.35428643226624,82615.285,81236,1.0169787409522872
410,294.4395215511322,84355.94299999998,82845,1.0182381918039711
420,303.89647006988525,84513.06700000004,82594,1.0232349444269564
430,291.82928228378296,83022.79900000003,81604,1.0173863903730214
440,290.63617753982544,81865.62599999997,80211,1.020628417548715
450,286.57883477211,81559.15200000002,80250,1.0163134205607478
460,292.25918078422546,82972.98400000001,81412,1.0191738810003441
470,296.8535783290863,83617.64100000003,81898,1.0209973503626466
480,293.8448715209961,83603.20700000001,82075,1.018619640572647
490,303.6113905906677,85183.68600000002,83428,1.0210443256460662
500,304.4950678348541,85260.27600000001,83611,1.0197255863462944
510,324.7717926502228,84839.45800000004,82424,1.0293052751625744
520,415.04406332969666,120938.44400000006,114045,1.0604449471699773
530,293.92868638038635,81431.366,79756,1.0210061437384021
540,301.8758282661438,85218.39599999992,83642,1.0188469429234108
550,309.9536111354828,88407.03600000005,86673,1.0200066456682018
560,295.5206995010376,83028.872,81430,1.019634925703058
570,314.5333230495453,88534.76399999998,86833,1.0195981251367565
580,292.5611824989319,83165.14200000002,81713,1.0177712481490095
590,304.98716950416565,85928.79600000003,84540,1.0164276792051103
600,305.7027246952057,84870.642,83226,1.0197611563694038
