PromptIndex,Latency(s),Energy(J),Tokens,EnergyPerToken
1,2.5941574573516846,451.633,669,0.6750866965620329
2,2.9579176902770996,646.003,788,0.8198007614213199
3,3.1405551433563232,672.017,850,0.7906082352941177
4,4.8540942668914795,1085.762,1377,0.7884981844589687
5,2.749457359313965,583.9259999999999,721,0.809883495145631
6,2.437493085861206,537.819,633,0.8496350710900473
7,2.0388760566711426,409.869,512,0.800525390625
8,2.413374423980713,515.602,634,0.8132523659305994
9,3.8350942134857178,829.4270000000001,1070,0.7751654205607478
10,2.9242026805877686,634.452,791,0.8020884955752212
11,3.4845118522644043,780.8190000000002,947,0.8245184794086591
12,3.749384641647339,818.2330000000001,1014,0.8069358974358974
13,2.4398701190948486,530.868,640,0.8294812500000001
14,2.723036527633667,593.539,729,0.8141824417009602
15,2.937917947769165,615.5169999999999,784,0.7850982142857142
16,3.528216600418091,776.7250000000001,953,0.8150314795383002
17,2.58170223236084,566.102,674,0.839913946587537
18,3.398670196533203,738.751,930,0.7943559139784946
19,5.2871668338775635,1170.914,1367,0.8565574250182882
20,4.156440734863281,891.9590000000001,952,0.9369317226890757
21,3.0925416946411133,630.615,646,0.9761842105263158
22,5.66265082359314,1231.4829999999995,1455,0.846380068728522
23,3.268909215927124,713.1600000000002,871,0.8187830080367396
24,3.4471659660339355,769.254,929,0.8280452099031217
25,4.230749130249023,930.6909999999999,1181,0.7880533446232006
26,2.7286272048950195,585.322,729,0.8029108367626886
27,2.5571603775024414,559.3530000000001,661,0.8462223903177005
28,3.784125566482544,820.5000000000001,1057,0.7762535477767267
29,2.937192678451538,658.696,798,0.8254335839598997
30,2.7626302242279053,587.3480000000001,746,0.7873297587131368
31,3.1477108001708984,686.707,870,0.7893183908045976
32,4.649130821228027,1028.0540000000003,1308,0.7859740061162082
33,2.9633569717407227,650.7479999999999,796,0.8175226130653266
34,3.1995670795440674,675.5200000000002,864,0.7818518518518521
35,2.830587387084961,629.3650000000001,760,0.8281118421052633
36,4.112911701202393,906.878,1152,0.7872204861111112
37,3.1781325340270996,706.4039999999999,865,0.8166520231213872
38,2.127361536026001,443.23100000000005,546,0.8117783882783883
39,3.804659128189087,827.0710000000001,1057,0.7824701986754968
40,3.07421612739563,685.1810000000002,840,0.8156916666666668
41,2.1099538803100586,444.603,543,0.8187900552486188
42,2.6445934772491455,566.836,704,0.8051647727272727
43,3.2711594104766846,715.332,870,0.8222206896551724
44,3.257051467895508,713.2769999999999,885,0.8059627118644067
45,4.082663297653198,879.1030000000002,958,0.9176440501043843
46,4.994150876998901,1077.8010000000004,1165,0.9251510729613737
47,3.1133015155792236,672.1949999999998,699,0.9616523605150212
48,3.0207114219665527,645.1460000000001,812,0.7945147783251233
49,2.1672987937927246,483.86400000000003,553,0.8749801084990959
50,2.7982676029205322,588.71,750,0.7849466666666667
