PowerCap(W),TotalLatency(s),TotalEnergy(J),TotalTokens,EnergyPerToken
150,304.97524547576904,35660.511,42003,0.848999142918363
160,292.1887888908386,36395.743,44491,0.8180473129396957
170,267.87530732154846,35398.954,44828,0.7896616846613723
180,239.0447404384613,33229.809,42821,0.7760166507087645
190,224.90398502349854,33024.507,43740,0.7550184499314129
200,213.0760293006897,32630.915000000008,42956,0.7596357901108113
210,197.53807520866394,31769.912,42114,0.7543788763831505
220,203.47710752487183,34179.183000000005,45169,0.7566955876818173
230,181.2390420436859,31839.438,42088,0.7564968161946397
240,187.31433939933777,34122.765,44714,0.7631338059668112
250,181.03755712509155,34209.07600000001,44265,0.7728244888738283
260,175.65259099006653,34415.22900000001,44259,0.7775871348200367
270,173.74177980422974,35263.806000000004,44933,0.7848086261767522
280,168.50333285331726,35423.149999999994,44678,0.7928544249966425
290,163.2506787776947,35362.385,43105,0.8203777983992577
300,170.25411915779114,38028.94699999999,44451,0.8555251175451619
310,151.41776752471924,34905.647,41762,0.8358231645993965
320,157.72987580299377,37295.646,42874,0.8698895834305174
330,157.05476593971252,38154.85700000001,42888,0.8896394562581611
340,160.11652183532715,39831.98699999999,43186,0.9223356411800118
350,160.51642632484436,40733.295999999995,43098,0.945131931876189
360,157.26086521148682,41124.81800000001,43485,0.9457242267448547
370,153.9642632007599,41352.242,42868,0.9646412708780442
380,158.00849056243896,42036.46700000001,41943,1.0022284290584844
390,152.21570944786072,41859.937999999995,41684,1.004220756165435
400,154.18618392944336,42726.54600000001,41904,1.0196292955326463
410,164.41327214241028,44011.13800000002,43101,1.0211164010115779
420,152.5071074962616,42058.82299999999,41454,1.014590220485357
430,154.89771151542664,43216.32800000001,42801,1.0097036985117172
440,160.48059797286987,45003.682,44596,1.009141671898825
450,147.57031059265137,41715.310000000005,41457,1.0062307933521482
460,156.85555696487427,43136.88799999999,42791,1.0080831950643825
470,151.98343586921692,43195.405999999995,42897,1.0069563372730026
480,156.534592628479,43920.061,43547,1.008566858796243
490,149.56371521949768,41642.278,41330,1.0075557222356641
500,158.2052140235901,44442.64500000001,44087,1.0080668904665777
510,158.42517256736755,43691.880999999994,43198,1.0114329598592526
520,161.0220558643341,44985.45299999999,44372,1.013825227621022
530,161.21734046936035,44249.30399999998,43597,1.0149621304218177
540,155.11286902427673,44062.06800000001,43636,1.0097641397011643
550,155.69018745422363,43980.06599999999,43450,1.0121994476409664
560,160.30852460861206,44029.04200000001,43152,1.0203244809047092
570,162.88279128074646,45042.12400000002,44382,1.0148736875309814
580,157.1490490436554,43556.263999999996,42995,1.0130541690894288
590,149.52490735054016,41068.94000000001,40306,1.0189286954795815
600,157.63889575004578,43289.79800000002,42581,1.0166458749207397
