PowerCap(W),TimeTaken(s),TotalEnergy(J),TotalTokens,EnergyPerToken
150,7099.468487977982,834234.0599999999,212707,3.921986864560169
160,5842.849764347076,731583.4159999985,200305,3.6523472504430665
170,5067.267485141754,674126.372999998,197157,3.4192363091343347
180,5270.243257761002,739194.4870000004,227565,3.24827845670468
190,4819.262746334076,713951.6689999986,230385,3.098950317946041
200,4427.058519601822,692182.1929999992,232721,2.9743005272407697
210,3667.4047985076904,601359.7499999986,211781,2.8395358884885735
220,3322.224646091461,570349.1049999989,207461,2.7491871002260613
230,3475.16779088974,623980.9809999991,231575,2.694509256180499
240,2896.1112830638885,541710.7279999991,206948,2.6176176044223625
250,2695.9929823875427,523732.59499999916,203727,2.5707569197995315
260,2967.768285512924,599832.6429999991,235088,2.5515238676580645
270,2532.646215438843,531335.4909999991,211330,2.5142454502436906
280,2587.8596017360687,562659.0979999993,225197,2.498519509584938
290,2540.065910100937,571915.9469999991,230838,2.4775641228913745
300,2198.60582947731,511612.3579999993,210009,2.4361449175987664
310,2329.4260993003845,559023.8149999997,229222,2.43878779087522
320,2007.7746629714966,495439.5899999994,205119,2.4153763912655553
330,2008.181334733963,511590.5669999995,211355,2.420527392302049
340,2056.4836876392365,538177.0509999993,220748,2.437970223965786
350,1895.4312903881073,510459.98999999947,209704,2.434192910006483
360,1796.787157535553,497617.87899999955,203724,2.442608033417759
370,1814.4971692562103,515208.6559999995,209035,2.464700437725737
380,1932.8645944595337,562945.3589999995,225366,2.497916096483052
390,1761.7041451931,526174.9619999996,209974,2.505905312086256
400,1716.135705947876,524928.5689999996,207982,2.5239134588570145
410,1774.0476894378662,556062.0079999997,216973,2.562816608518109
420,1757.080536365509,563879.5959999996,217360,2.594219709238128
430,1739.7043888568878,570572.5719999996,216737,2.6325573021680637
440,1702.0991213321686,571036.0419999996,214881,2.6574524597335247
450,1634.1528108119965,559046.3129999997,206794,2.7033971633606377
460,1747.4017615318298,612212.4450000001,221899,2.75896892279821
470,1722.211139678955,615211.3769999999,219620,2.8012538794281023
480,1685.1027989387512,614934.8209999999,216258,2.843524036105022
490,1602.7266590595245,596167.4759999999,207793,2.8690450400157843
500,1990.7061927318573,754533.41,248080,3.041492300870687
510,1617.0220506191254,626104.7119999999,210142,2.979436343044227
520,1582.7954034805298,624269.85,206420,3.0242701773084004
530,1620.667462348938,651682.36,211252,3.0848577054891786
540,1683.2905871868134,689271.277,219391,3.141748189305851
550,1627.258564710617,678432.153,212385,3.1943506038562046
560,1756.016546010971,744378.7349999998,227250,3.275593993399339
570,1606.3532645702362,693035.1989999999,210168,3.297529590613223
580,1612.295860528946,707408.2029999999,211133,3.350533564151506
590,1666.8462359905243,744210.0479999998,218220,3.4103659059664553
600,1705.4278328418732,774215.1690000002,222687,3.476696749248947
